Row,Name,Neighborhood,Year,Value
6214,Ozone,203.0,2012,32.1
6215,Ozone,403.0,2012,34.5
6216,Ozone,304.0,2012,30.2
6217,Fine Particles,201.0,2012,11.7
6220,Fine Particles,208.0,2012,10.0
6224,Fine Particles,309.0,2012,11.5
6225,Nitrogen Dioxide,106.0,2012,20.1
6229,Fine Particles,401.0,2012,11.2
6230,Nitrogen Dioxide,303.0,2012,21.2
6231,Nitrogen Dioxide,105.0,2012,19.4
6232,Fine Particles,503.0,2012,10.1
6233,Ozone,107.0,2012,35.0
6234,Ozone,308.0,2012,27.9
6235,Ozone,307.0,2012,24.1
6236,Ozone,208.0,2012,36.6
6237,Ozone,407.0,2012,34.2
6243,Nitrogen Dioxide,210.0,2012,12.3
6249,Ozone,207.0,2012,33.4
6253,Fine Particles,307.0,2012,14.0
6254,Fine Particles,408.0,2012,10.0
6255,Fine Particles,407.0,2012,9.9
6260,Nitrogen Dioxide,410.0,2012,8.3
6261,Nitrogen Dioxide,310.0,2012,29.3
6263,Nitrogen Dioxide,504.0,2012,8.2
6264,Nitrogen Dioxide,404.0,2012,14.6
6265,Nitrogen Dioxide,403.0,2012,16.5
6266,Nitrogen Dioxide,405.0,2012,17.2
6267,Nitrogen Dioxide,203.0,2012,19.0
6269,Fine Particles,101.0,2012,10.2
6270,Fine Particles,301.0,2012,10.5
6271,Nitrogen Dioxide,102.0,2012,16.3
6272,Fine Particles,206.0,2012,10.2
6280,Nitrogen Dioxide,402.0,2012,18.9
6281,Ozone,404.0,2012,33.8
6285,Fine Particles,102.0,2012,10.2
6288,Nitrogen Dioxide,301.0,2012,18.9
6312,Nitrogen Dioxide,407.0,2012,16.3
6313,Nitrogen Dioxide,307.0,2012,36.7
6314,Fine Particles,107.0,2012,9.5
6332,Nitrogen Dioxide,501.0,2012,15.5
6333,Nitrogen Dioxide,201.0,2012,19.4
6338,Ozone,103.0,2012,34.1
6339,Ozone,405.0,2012,33.3
6340,Nitrogen Dioxide,211.0,2012,19.5
6342,Ozone,104.0,2012,35.4
6343,Ozone,503.0,2012,32.8
6348,Nitrogen Dioxide,206.0,2012,16.7
6349,Ozone,310.0,2012,26.4
6352,Ozone,302.0,2012,31.7
6362,Fine Particles,310.0,2012,12.3
6363,Ozone,504.0,2012,35.3
6364,Nitrogen Dioxide,304.0,2012,23.6
6367,Fine Particles,406.0,2012,9.9
6373,Nitrogen Dioxide,502.0,2012,12.2
6380,Nitrogen Dioxide,305.0,2012,26.8
6381,Fine Particles,203.0,2012,10.4
6384,Fine Particles,405.0,2012,10.2
6385,Fine Particles,105.0,2012,11.0
6386,Ozone,303.0,2012,32.3
6388,Ozone,502.0,2012,33.1
6389,Ozone,402.0,2012,33.6
6390,Ozone,106.0,2012,33.2
6393,Fine Particles,504.0,2012,9.8
6394,Fine Particles,404.0,2012,9.8
6401,Ozone,406.0,2012,33.4
6406,Fine Particles,207.0,2012,10.3
6411,Ozone,408.0,2012,33.8
6415,Fine Particles,402.0,2012,10.8
6426,Nitrogen Dioxide,308.0,2012,27.3
6439,Fine Particles,501.0,2012,10.1
